scale_1,scale_2,scale_3,scale_4,scale_5,scale_6,scale_7,scale_8,scale_9,scale_10,scale_11,scale_12,scale_13,scale_14,scale_15,scale_16,scale_17,scale_18
0.26046297,0.20845065,0.56908035,0.27601716,0.23347458,0.26060504,0.2844019,0.2683598,0.3361324,0.27083722,0.19635841,0.20718503,0.24424988,0.23030004,0.21440044,0.21710159,0.21596141,0.25193122
0.31179357,0.25887066,0.40299442,0.34238148,0.294011,0.5198498,0.313797,0.32191557,0.61097765,0.3311894,0.2615031,0.54765624,0.29537728,0.51715225,0.55479723,0.25237262,0.29002416,0.30357242
0.20262736,0.17457658,0.429628,0.21880703,0.23292013,0.36132786,0.16010761,0.21079686,0.319249,0.20713393,0.1470409,0.26274437,0.15185572,0.24062906,0.26976076,0.17169422,0.1432673,0.25474933
0.28761283,0.20697013,0.6759578,0.30635417,0.23995323,0.2689176,0.30084783,0.28049722,0.39857647,0.2811052,0.20082483,0.22074045,0.24912357,0.2756119,0.24050584,0.20454343,0.24458967,0.26199585
0.31268737,0.2361987,0.7049892,0.32878143,0.2586344,0.31874767,0.29723683,0.2993745,0.46452454,0.31247008,0.23650718,0.2874416,0.26333305,0.31341136,0.29976994,0.21424276,0.28113323,0.29459944
0.27086255,0.24011959,0.67378235,0.31369182,0.30467492,0.30540726,0.2512297,0.31488085,0.4345187,0.30644903,0.2974614,0.270683,0.24177769,0.41586962,0.30138886,0.2473625,0.2873839,0.3190157
0.32201883,0.23259372,0.5532784,0.34814477,0.27150247,0.5171966,0.3347101,0.28803113,0.6263538,0.35660648,0.20560285,0.51245856,0.32554713,0.43457612,0.51783353,0.24678196,0.23785038,0.29660875
0.3114888,0.24813765,0.75366646,0.34560418,0.27167284,0.34889895,0.363554,0.3010948,0.5237953,0.3385054,0.23148558,0.327886,0.3010465,0.34396183,0.3416556,0.2388445,0.2459411,0.29013616
0.23846716,0.21923903,0.61732876,0.2712482,0.28102618,0.3113348,0.22185346,0.2719108,0.50382113,0.3127708,0.24329501,0.3777722,0.25982028,0.36021978,0.32732958,0.24220464,0.30576462,0.332869
0.34832993,0.32629597,0.48055196,0.3987094,0.34991437,0.6050875,0.3855834,0.38547772,0.750328,0.3829856,0.3114075,0.669624,0.37703136,0.6151365,0.6649096,0.3535203,0.33273855,0.35295767
0.31917506,0.2244145,0.6157953,0.31880027,0.26849547,0.38353783,0.2792204,0.2819332,0.48982197,0.30658337,0.24363369,0.35083127,0.24834517,0.34365803,0.3542466,0.21861598,0.25802347,0.29575834
0.26676288,0.2433169,0.62734616,0.32208183,0.33502647,0.33049586,0.23837434,0.34224734,0.44021416,0.2969699,0.305842,0.3020462,0.24128571,0.43499824,0.315379,0.25577292,0.29543337,0.33959484
0.23757388,0.18222174,0.4696415,0.23771547,0.26505834,0.23830368,0.21134956,0.2755069,0.31412417,0.21774724,0.23894118,0.21585517,0.20121875,0.29485172,0.22017539,0.2193881,0.23418123,0.25326705
0.27037403,0.20797305,0.53159064,0.27821437,0.28010273,0.34214085,0.22366641,0.27834582,0.41293156,0.2425489,0.19803095,0.30695885,0.20302102,0.28624174,0.28277576,0.21610318,0.22525494,0.26339874
0.31481397,0.2847377,0.3316068,0.32878068,0.3565045,0.5210132,0.30520612,0.33884323,0.5948086,0.3366684,0.31148288,0.5526384,0.28116757,0.5273536,0.5384327,0.32551658,0.30077553,0.34429538
0.35354084,0.27452013,0.5507448,0.3665441,0.30950922,0.5981407,0.33505896,0.3146754,0.7259888,0.381437,0.2508443,0.6589412,0.3410614,0.5374474,0.59795856,0.27755076,0.26206014,0.36316192
0.40971935,0.31994724,0.63543713,0.44667774,0.37805107,0.57217014,0.38109696,0.38875097,0.74666363,0.41676953,0.3328608,0.64141434,0.3794784,0.59466213,0.624228,0.3060317,0.3193989,0.3908874
0.20432647,0.20949954,0.49997613,0.22778282,0.29089978,0.2952643,0.19882935,0.25535426,0.39426047,0.22809981,0.22584651,0.22616205,0.18272825,0.29078332,0.2490938,0.21190089,0.21844137,0.2664197
0.37135333,0.3427713,0.6017415,0.4054304,0.34556097,0.5604623,0.4200766,0.37118262,0.7312511,0.39979094,0.32438213,0.5882788,0.3438142,0.6158277,0.6079106,0.31012964,0.3277463,0.35592777
